 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | b-tag Eigenvar. 2 | -0.0034346 / 0.0034346 | 0.00186593 / -0.00186593 | 0.00144951 / -0.00144951 | -0.000773801 / 0.000773801 | -0.00133237 / 0.00133237 | -0.00455745 / 0.00455745 | -0.000735368 / 0.000735368 | 8.20938e-05 / -8.20938e-05 | -0.000926565 / 0.000926565 | -0.00230071 / 0.00230071 |
 | b-tag Eigenvar. 3 | -0.0024599 / 0.0024599 | 0.00373246 / -0.00373246 | 0.00225894 / -0.00225894 | 0.00134116 / -0.00134116 | 0.000525434 / -0.000525434 | 0.00240964 / -0.00240964 | -0.00048224 / 0.00048224 | -0.000883109 / 0.000883109 | 0.000504731 / -0.000504731 | -0.00099365 / 0.00099365 |
 | b-tag Eigenvar. 4 | 0.000574938 / -0.000574938 | -0.0013197 / 0.0013197 | -0.00103833 / 0.00103833 | -0.00069899 / 0.00069899 | -0.000326589 / 0.000326589 | -0.00109037 / 0.00109037 | 6.72077e-05 / -6.72077e-05 | 0.000403359 / -0.000403359 | -0.000554257 / 0.000554257 | -1.4887e-05 / 1.4887e-05 |
 | b-tag Eigenvar. 5 | 0.00118617 / -0.00118617 | 0.00117548 / -0.00117548 | -0.000238359 / 0.000238359 | -0.00282557 / 0.00282557 | -0.000145177 / 0.000145177 | -0.000677347 / 0.000677347 | 0.0015678 / -0.0015678 | 0.00262377 / -0.00262377 | -0.00105007 / 0.00105007 | 0.000182768 / -0.000182768 |
 | b-tag Eigenvar. 6 | 0.00280937 / -0.00280937 | -0.00303829 / 0.00303829 | -0.00209215 / 0.00209215 | -0.00120759 / 0.00120759 | 2.44889e-05 / -2.44889e-05 | -0.00283605 / 0.00283605 | 0.000561867 / -0.000561867 | 0.000510403 / -0.000510403 | 0.000219999 / -0.000219999 | 0.000468049 / -0.000468049 |
 | b-tag Eigenvar. 7 | 0.000905739 / -0.000905739 | 0.00107089 / -0.00107089 | 0.000416546 / -0.000416546 | 0.000423628 / -0.000423628 | 0.00115922 / -0.00115922 | 0.00220656 / -0.00220656 | 0.00034447 / -0.00034447 | -9.24299e-05 / 9.24299e-05 | 0.000775669 / -0.000775669 | 0.000400555 / -0.000400555 |
 | b-tag Eigenvar. 8 | -0.00294446 / 0.00294446 | 0.000789861 / -0.000789861 | 0.00212637 / -0.00212637 | -0.00183794 / 0.00183794 | -0.00558912 / 0.00558912 | -0.000328866 / 0.000328866 | -0.000777682 / 0.000777682 | 0.000168251 / -0.000168251 | -0.00326248 / 0.00326248 | -0.00200406 / 0.00200406 |
 | b-tag Eigenvar. 9 | 2.67305e-05 / -2.67305e-05 | -0.000545035 / 0.000545035 | 0.000161231 / -0.000161231 | 0.000161235 / -0.000161235 | 0.000718395 / -0.000718395 | 0.00280399 / -0.00280399 | -0.00011358 / 0.00011358 | -0.000108296 / 0.000108296 | -0.000522499 / 0.000522499 | -7.87268e-05 / 7.87268e-05 |
 | b-tag Eigenvar. 10 | 0.00320187 / -0.00320187 | -0.00303658 / 0.00303658 | -0.00238101 / 0.00238101 | -0.00309267 / 0.00309267 | 0.000172509 / -0.000172509 | 0.000247277 / -0.000247277 | 0.000655396 / -0.000655396 | 0.00135658 / -0.00135658 | 0.00182388 / -0.00182388 | 0.000898037 / -0.000898037 |
 | b-tag Eigenvar. 11 | 0.000919459 / -0.000919459 | -0.00113441 / 0.00113441 | -0.00067112 / 0.00067112 | -0.00127924 / 0.00127924 | -0.000398652 / 0.000398652 | -0.000886717 / 0.000886717 | 0.000243169 / -0.000243169 | 0.000418623 / -0.000418623 | -8.19275e-05 / 8.19275e-05 | 6.62572e-05 / -6.62572e-05 |
